datetime, albedo, sky, ground, has_fix, latitude, longitude, altitude, satelites, hdop #, gps_data
2017-07-20 18:30:25.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405033333333336, -85.40068833333333, 266.3, 7, 1.47 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 135.55, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.47, latitude: 42.405033333333336, longitude: -85.40068833333333, magvariation: nil, satelites: 7, speed: 0.22224, time: ~T[18:30:25.000000]}
2017-07-20 18:30:27.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405033333333336, -85.40068833333333, 266.3, 7, 1.47 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 168.98, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.47, latitude: 42.405033333333336, longitude: -85.40068833333333, magvariation: nil, satelites: 7, speed: 0.25928, time: ~T[18:30:27.000000]}
2017-07-20 18:30:28.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405031666666666, -85.40068833333333, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 191.64, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405031666666666, longitude: -85.40068833333333, magvariation: nil, satelites: 6, speed: 0.31484000000000006, time: ~T[18:30:28.000000]}
2017-07-20 18:30:29.000000, , 0.0, 0.1046875, true, 42.405031666666666, -85.40068833333333, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 197.53, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405031666666666, longitude: -85.40068833333333, magvariation: nil, satelites: 6, speed: 0.35188, time: ~T[18:30:29.000000]}
2017-07-20 18:30:30.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40503, -85.40068833333333, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 200.24, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.40503, longitude: -85.40068833333333, magvariation: nil, satelites: 6, speed: 0.38892, time: ~T[18:30:30.000000]}
2017-07-20 18:30:32.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40503, -85.40069166666666, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 262.66, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.40503, longitude: -85.40069166666666, magvariation: nil, satelites: 6, speed: 0.6852400000000001, time: ~T[18:30:32.000000]}
2017-07-20 18:30:33.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405028333333334, -85.40069333333334, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 250.08, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405028333333334, longitude: -85.40069333333334, magvariation: nil, satelites: 6, speed: 0.42596000000000006, time: ~T[18:30:33.000000]}
2017-07-20 18:30:34.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405028333333334, -85.400695, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 258.21, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405028333333334, longitude: -85.400695, magvariation: nil, satelites: 6, speed: 0.31484000000000006, time: ~T[18:30:34.000000]}
2017-07-20 18:30:35.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405028333333334, -85.40069666666666, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 287.33, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405028333333334, longitude: -85.40069666666666, magvariation: nil, satelites: 6, speed: 0.22224, time: ~T[18:30:35.000000]}
2017-07-20 18:30:37.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40503, -85.40069833333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 327.14, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40503, longitude: -85.40069833333334, magvariation: nil, satelites: 6, speed: 0.25928, time: ~T[18:30:37.000000]}
